daily_avg,Date
12.22937178,2/19/16 0:00
8.658088273,1/6/13 0:00
11.69177393,2/11/12 0:00
10.88125242,11/14/14 0:00
12.561052,10/8/13 0:00
1.901477511,9/28/18 0:00
6.660337258,1/29/19 0:00
11.90522697,10/13/13 0:00
14.1168354,9/27/16 0:00
9.140506466,1/29/18 0:00
4.204593974,10/30/18 0:00
2.27643025,4/30/19 0:00
10.89475021,10/12/20 0:00
8.898774675,1/25/13 0:00
0.883166676,11/29/19 0:00
8.686833757,11/22/17 0:00
12.06617352,2/21/17 0:00
20.07117919,3/1/18 0:00
12.99465956,10/31/14 0:00
3.219683906,11/27/20 0:00
8.323338815,11/27/14 0:00
12.37655224,10/12/12 0:00
1.888385693,2/20/18 0:00
10.00435824,11/8/12 0:00
8.503192113,1/4/13 0:00
1.655000618,1/7/19 0:00
13.17699686,10/29/14 0:00
11.66180286,11/1/15 0:00
10.87058375,1/15/15 0:00
12.89781536,11/1/14 0:00
10.93978322,11/6/16 0:00
2.559043633,11/28/19 0:00
31.76635849,3/19/20 0:00
4.305264274,1/9/15 0:00
10.06292338,11/20/16 0:00
8.715518581,11/10/13 0:00
1.016061124,11/27/19 0:00
4.977210269,11/5/20 0:00
8.379972086,1/3/12 0:00
14.07712566,10/1/11 0:00
14.61932343,9/23/12 0:00
0.908650044,11/11/13 0:00
1.647888848,12/31/19 0:00
13.70756452,9/29/13 0:00
1.572908193,12/16/12 0:00
10.21679225,11/20/14 0:00
2.352906066,12/14/18 0:00
8.177884417,1/15/13 0:00
14.59272651,10/13/16 0:00
8.609257057,1/15/14 0:00
11.59105903,1/24/15 0:00
2.185423866,12/30/17 0:00
6.325671067,3/4/20 0:00
13.32974814,10/21/14 0:00
10.44576488,11/10/15 0:00
10.5192405,11/16/11 0:00
2.790430236,12/16/14 0:00
11.08950904,1/16/15 0:00
5.05988779,12/15/20 0:00
1.057936618,12/20/14 0:00
8.190845397,1/7/12 0:00
5.084771892,1/23/14 0:00
14.52204903,10/11/14 0:00
10.06287048,11/12/13 0:00
5.634519184,10/3/20 0:00
